FGEOID,GEOID,NAME,NAMELSAD,GEOID_FILE,Memory Usage (GB)
0500000US27047,27047,Freeborn,Freeborn County,"0500000US27047.graphml",0.072114176
0500000US06009,06009,Calaveras,Calaveras County,"0500000US06009.graphml",0.10242048000000001
0500000US25001,25001,Barnstable,Barnstable County,"0500000US25001.graphml",0.5108899840000001
0500000US51119,51119,Middlesex,Middlesex County,"0500000US51119.graphml",0.05449728000000001
0500000US42065,42065,Jefferson,Jefferson County,"0500000US42065.graphml",0.08525823999999999
0500000US18089,18089,Lake,Lake County,"0500000US18089.graphml",0.352346112
0500000US47003,47003,Bedford,Bedford County,"0500000US47003.graphml",0.051617791999999996
0500000US47027,47027,Clay,Clay County,"0500000US47027.graphml",0.020553727999999993
0500000US17029,17029,Coles,Coles County,"0500000US17029.graphml",0.07374028799999999
0500000US47097,47097,Lauderdale,Lauderdale County,"0500000US47097.graphml",0.03784704
0500000US41001,41001,Baker,Baker County,"0500000US41001.graphml",0.047808512
0500000US36097,36097,Schuyler,Schuyler County,"0500000US36097.graphml",0.031301631999999996
0500000US26159,26159,Van Buren,Van Buren County,"0500000US26159.graphml",0.091049984
0500000US17131,17131,Mercer,Mercer County,"0500000US17131.graphml",0.041275391999999994
0500000US21127,21127,Lawrence,Lawrence County,"0500000US21127.graphml",0.03538534400000001
0500000US21175,21175,Morgan,Morgan County,"0500000US21175.graphml",0.03450060799999999
0500000US21177,21177,Muhlenberg,Muhlenberg County,"0500000US21177.graphml",0.06165299199999999
0500000US17049,17049,Effingham,Effingham County,"0500000US17049.graphml",0.065998848
0500000US47105,47105,Loudon,Loudon County,"0500000US47105.graphml",0.07194214400000001
0500000US46025,46025,Clark,Clark County,"0500000US46025.graphml",0.020381696000000005
0500000US15003,15003,Honolulu,Honolulu County,"0500000US15003.graphml",0.32151552
0500000US12041,12041,Gilchrist,Gilchrist County,"0500000US12041.graphml",0.030056447999999986
0500000US18157,18157,Tippecanoe,Tippecanoe County,"0500000US18157.graphml",0.14396620799999998
0500000US42109,42109,Snyder,Snyder County,"0500000US42109.graphml",0.11968512000000003
0500000US48277,48277,Lamar,Lamar County,"0500000US48277.graphml",0.080871424
0500000US12086,12086,Miami-Dade,Miami-Dade County,"0500000US12086.graphml",1.320484864
0500000US31057,31057,Dundy,Dundy County,"0500000US31057.graphml",0.012632063999999998
0500000US48289,48289,Leon,Leon County,"0500000US48289.graphml",0.05572608000000001
0500000US08097,08097,Pitkin,Pitkin County,"0500000US08097.graphml",0.031043584000000013
0500000US38035,38035,Grand Forks,Grand Forks County,"0500000US38035.graphml",0.08402124799999999
0500000US18091,18091,LaPorte,LaPorte County,"0500000US18091.graphml",0.12494438399999999
0500000US18057,18057,Hamilton,Hamilton County,"0500000US18057.graphml",0.33349632
0500000US51595,51595,Emporia,Emporia city,"0500000US51595.graphml",0.010379264
0500000US40081,40081,Lincoln,Lincoln County,"0500000US40081.graphml",0.10229350400000001
0500000US20071,20071,Greeley,Greeley County,"0500000US20071.graphml",0.021925888000000004
0500000US13145,13145,Harris,Harris County,"0500000US13145.graphml",0.057921535999999996
0500000US13251,13251,Screven,Screven County,"0500000US13251.graphml",0.031604735999999994
0500000US72127,72127,San Juan,San Juan Municipio,"0500000US72127.graphml",0.174313472
0500000US48433,48433,Stonewall,Stonewall County,"0500000US48433.graphml",0.05799116800000001
0500000US39069,39069,Henry,Henry County,"0500000US39069.graphml",0.04718182399999998
0500000US33009,33009,Grafton,Grafton County,"0500000US33009.graphml",0.151154688
0500000US29145,29145,Newton,Newton County,"0500000US29145.graphml",0.095215616
0500000US18129,18129,Posey,Posey County,"0500000US18129.graphml",0.055529472000000024
0500000US48311,48311,McMullen,McMullen County,"0500000US48311.graphml",0.0036208640000000014
0500000US17035,17035,Cumberland,Cumberland County,"0500000US17035.graphml",0.03222323199999999
0500000US13297,13297,Walton,Walton County,"0500000US13297.graphml",0.08000716800000002
0500000US27121,27121,Pope,Pope County,"0500000US27121.graphml",0.033492992
0500000US51157,51157,Rappahannock,Rappahannock County,"0500000US51157.graphml",0.022614015999999987
0500000US51009,51009,Amherst,Amherst County,"0500000US51009.graphml",0.043474944000000015
0500000US06111,06111,Ventura,Ventura County,"0500000US06111.graphml",0.447295488
0500000US17033,17033,Crawford,Crawford County,"0500000US17033.graphml",0.05251481599999999
0500000US08093,08093,Park,Park County,"0500000US08093.graphml",0.09371238400000001
0500000US06037,06037,Los Angeles,Los Angeles County,"0500000US06037.graphml",3.389575168
0500000US04027,04027,Yuma,Yuma County,"0500000US04027.graphml",0.17319526400000002
0500000US13129,13129,Gordon,Gordon County,"0500000US13129.graphml",0.05522227199999999
0500000US19025,19025,Calhoun,Calhoun County,"0500000US19025.graphml",0.03448831999999999
0500000US12055,12055,Highlands,Highlands County,"0500000US12055.graphml",0.195657728
0500000US51580,51580,Covington,Covington city,"0500000US51580.graphml",0.009289727999999997
0500000US50017,50017,Orange,Orange County,"0500000US50017.graphml",0.05459148800000002
0500000US20113,20113,McPherson,McPherson County,"0500000US20113.graphml",0.067293184
0500000US04021,04021,Pinal,Pinal County,"0500000US04021.graphml",0.42310860800000005
0500000US39051,39051,Fulton,Fulton County,"0500000US39051.graphml",0.05113856
0500000US08003,08003,Alamosa,Alamosa County,"0500000US08003.graphml",0.027381760000000005
0500000US12017,12017,Citrus,Citrus County,"0500000US12017.graphml",0.27176959999999994
0500000US72049,72049,Culebra,Culebra Municipio,"0500000US72049.graphml",0.005230592000000006
0500000US72051,72051,Dorado,Dorado Municipio,"0500000US72051.graphml",0.02926592
0500000US47041,47041,DeKalb,DeKalb County,"0500000US47041.graphml",0.033411072000000014
0500000US42031,42031,Clarion,Clarion County,"0500000US42031.graphml",0.06439731200000001
0500000US46097,46097,Miner,Miner County,"0500000US46097.graphml",0.016289791999999997
0500000US46073,46073,Jerauld,Jerauld County,"0500000US46073.graphml",0.013328383999999999
0500000US18031,18031,Decatur,Decatur County,"0500000US18031.graphml",0.040144895999999985
0500000US18037,18037,Dubois,Dubois County,"0500000US18037.graphml",0.07127449599999999
0500000US51057,51057,Essex,Essex County,"0500000US51057.graphml",0.057442304
0500000US45089,45089,Williamsburg,Williamsburg County,"0500000US45089.graphml",0.05114675200000002
0500000US36031,36031,Essex,Essex County,"0500000US36031.graphml",0.08536064000000002
0500000US19195,19195,Worth,Worth County,"0500000US19195.graphml",0.026132479999999986
0500000US40063,40063,Hughes,Hughes County,"0500000US40063.graphml",0.05507072000000002
0500000US51027,51027,Buchanan,Buchanan County,"0500000US51027.graphml",0.04499456000000002
0500000US51005,51005,Alleghany,Alleghany County,"0500000US51005.graphml",0.023785472000000002
0500000US28087,28087,Lowndes,Lowndes County,"0500000US28087.graphml",0.07896678400000001
0500000US18143,18143,Scott,Scott County,"0500000US18143.graphml",0.031289344
0500000US08099,08099,Prowers,Prowers County,"0500000US08099.graphml",0.04090265599999998
0500000US48435,48435,Sutton,Sutton County,"0500000US48435.graphml",0.06062489600000001
0500000US72121,72121,Sabana Grande,Sabana Grande Municipio,"0500000US72121.graphml",0.021794815999999995
0500000US40101,40101,Muskogee,Muskogee County,"0500000US40101.graphml",0.15936307199999997
0500000US29043,29043,Christian,Christian County,"0500000US29043.graphml",0.132677632
0500000US72039,72039,Ciales,Ciales Municipio,"0500000US72039.graphml",0.016711680000000007
0500000US28073,28073,Lamar,Lamar County,"0500000US28073.graphml",0.09786163200000003
0500000US18137,18137,Ripley,Ripley County,"0500000US18137.graphml",0.046301183999999995
0500000US38057,38057,Mercer,Mercer County,"0500000US38057.graphml",0.022118399999999983
0500000US13147,13147,Hart,Hart County,"0500000US13147.graphml",0.05110988799999999
0500000US22049,22049,Jackson,Jackson Parish,"0500000US22049.graphml",0.05001625600000001
0500000US51133,51133,Northumberland,Northumberland County,"0500000US51133.graphml",0.083152896
0500000US48157,48157,Fort Bend,Fort Bend County,"0500000US48157.graphml",0.608362496
0500000US55047,55047,Green Lake,Green Lake County,"0500000US55047.graphml",0.040456192
0500000US30073,30073,Pondera,Pondera County,"0500000US30073.graphml",0.024862720000000005
0500000US55127,55127,Walworth,Walworth County,"0500000US55127.graphml",0.12385075199999998
0500000US32021,32021,Mineral,Mineral County,"0500000US32021.graphml",0.015421440000000008
0500000US17057,17057,Fulton,Fulton County,"0500000US17057.graphml",0.07732428799999999
0500000US36103,36103,Suffolk,Suffolk County,"0500000US36103.graphml",1.14305024
0500000US18161,18161,Union,Union County,"0500000US18161.graphml",0.014393344000000002
